"Id_Student";"tbl_Student_sex";"Carrer";"Number_Enrollment";"Number_Repetition";"Self_Perfomance";"Group";"Id_Course";"Id_Carrer";"Id_Subject";"Shared";"Id_Professor";"tbl_Professor_sex";"Department";"C_12";"C_13";"C_14";"C_15";"C_16";"C_17";"C_18";"C_19";"C_20";"C_21";"C_22";"C_23";"C_24";"C_25";"C_26";"C_27";"C_28";"C_29";"C_30";"C_31";"C_32";"C_33";"C_34";"C_35";"C_36_Strength";"c37_Weaknesses"
3108;0;"ADMINISTRACION DE EMPRESAS";10;2;3;17;519;1;248;0;522;;"ESTADISTICA";4;4;5;5;5;5;4;4;4;4;4;3;4;4;2;3;4;4;4;3;2;1;4;4;"CAPACIDAD PARA HACER ENTENDIBLE LOS TEMAS QUE PARA MUCHOS SON COMPLICADOS, RELACION CON CASOS COTIDIANOS";"DEBRIA DARLE UN PORCENTAJE A EJERCICIOS Y/O QUICES"
3125;1;"ADMINISTRACION DE EMPRESAS";10;2;4;17;519;1;248;0;522;;"ESTADISTICA";5;5;5;5;4;5;5;5;5;5;1;1;4;1;2;1;1;3;5;4;2;1;5;5;"TIENE CARISMA";"NO ENSEÑO PROGRAMAS ESTADISTICOS"
3123;1;"ADMINISTRACION DE EMPRESAS";5;1;5;17;519;1;248;0;522;;"ESTADISTICA";4;5;3;4;1;4;4;2;3;4;1;1;4;4;3;5;4;4;4;4;2;2;4;4;"EL PROFESO  TIENE BUENA CAPACIDAD DE ANALISIS Y MANTIENE LA CLASE ALERTA Y DESPIERTA";"LA ASIGNATURA UN POCO OBJETIVA Y NO ES MUY ENFOCADA A LA ECONOMIA"
3122;1;"ADMINISTRACION DE EMPRESAS";4;1;4;17;519;1;248;0;522;;"ESTADISTICA";4;5;5;5;1;5;5;4;4;4;3;1;4;5;5;3;5;5;5;5;2;2;4;4;"LA ALEGRIA CON QUE DICTA LA CLASE";"PUEDE QUE SE DESVIE DEL TEMA EN ALGUNOS MOMENTOS"
3121;1;"ADMINISTRACION DE EMPRESAS";3;1;4;17;519;1;248;0;522;;"ESTADISTICA";3;4;5;5;4;3;4;4;4;3;4;1;3;3;2;3;3;4;4;3;2;1;4;4;"ES CLARO EN LAS EXPLICACIONES";"NO ES SERIO"
3149;1;"ADMINISTRACION DE EMPRESAS";5;2;4;19;520;1;248;0;522;;"ESTADISTICA";4;4;3;4;2;4;4;3;4;4;2;2;3;3;1;2;3;1;1;1;2;1;4;4;"COMPARTIR CASOS DE APLICACIÓN DE ALGUNOS ASPECTOS TEORICOS DE LA MATERIA";"FALTA DE ORGANIZACIÓN EN LA PRESENTACION DE LOS TEMAS"
3126;1;"ADMINISTRACION DE EMPRESAS";12;2;3;17;519;1;248;0;522;;"ESTADISTICA";5;5;5;5;4;5;4;3;3;4;1;3;5;5;1;5;5;4;4;4;2;1;5;4;"EL PROFESOR DA MUCHO APOYO A LOS ESTUDIANTES CON DIFICULTAD";"DEJA ALGUNOS TEMAS IMPORTANTES PARA INVESTIGACION Y NO LO EXPLICA A PROFUNDIDAD"
3166;0;"ADMINISTRACION DE EMPRESAS";8;3;3;20;521;1;248;0;457;;"ESTADISTICA";5;5;5;5;5;5;3;4;3;4;4;5;3;5;5;5;5;4;4;3;2;1;4;4;"EMPEÑO, ABIERTA A ESCUCHAR A LOS ESTUDIANTES";"FALTA SEGURIDAD AL EXPONER LOS TEMAS"
3167;0;"ADMINISTRACION DE EMPRESAS";10;1;4;20;521;1;248;0;457;;"ESTADISTICA";5;5;4;5;5;4;4;2;1;4;4;1;4;5;5;4;5;4;4;3;2;1;4;3;"PROACTIVA, AMIGABLE, SE ESFUERZA POR PREPARAR LA CLASE";"EL USO DE LA ESTADISTICA EN ADMIN ES RESTRINGIDO, AL INICIO DE LA TEMATICA EL USO DEL VIDEOBEAM ERA INCOMODO, YA QUE LOS EJEMPLOS DEBIAN SER MAS PRACTICOS"
3105;0;"ADMINISTRACION DE EMPRESAS";5;1;4;17;519;1;248;0;522;;"ESTADISTICA";4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;2;1;4;4;"PASION, COMPRENSIO, LENGUAJE CLARO";"FALTA DE APOYO DE MONITORIA Y DESARROLLO DE TALLERES DE FORMA PERMANENTE Y OBLIGATORIA"
