"key_Student";"Student";"Professor";"Subject";"SelfPerf";"C_12";"C_13";"C_14";"C_15";"C_16";"C_17";"C_18";"C_19";"C_20";"C_21";"C_22";"C_23";"C_24";"C_25";"C_26";"C_27";"C_28";"C_29";"C_30";"C_31";"C_32";"C_33";"C_34";"C_35";"C_36_Strength";"c37_Weaknesses";"student_sex";"Id_Fingerprint";"Id_Carrer";"Number_Enrollment";"Number_Repetition";"Number_Lost";"Id_Course";"Group";"Shared";"professor_sex";"Vinculacion";"Fecha_Ingreso";"professor_cat";"professor_dedic";"Professor_Dept"
697;1;1;1;1;4;4;4;4;4;4;3;2;3;2;3;3;3;3;4;4;4;3;3;3;2;2;4;2;"APASIONADO CON SUS TEMAS Y DISPUESTO A AYUDAR A LOS ESTUDIANTES EN LO QUE NECESITE, CUENTA CON MUCHA EXPERIENCIA, LO QUE TRANSMITECON FACILIDAD A LOS ESTUDIANTES";"EL HORARIO Y QUE ES LA UNICA ASIGNATURA DEL PLAN QUE TRABAJA ESTOS TEMAS, LO QUE HACE DIFICIL SU INCLUSION EN EL PERFIL PROFESIONAL";0;50;5;4;1;0;34;1;0;1;"PLANTA";"25/8/1975 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
698;2;1;1;2;3;3;4;4;4;4;2;2;3;2;4;3;3;4;4;4;4;4;3;4;2;2;4;2;"EJEMPLIFICA CON SUCESOS COTIDIANOS Y HACE UN USO ADECUADO DE LAS HERRAMIENTAS INFORMATICAS";"LOS CONTENIDOS DEBERIAN EXPLICARSE MEJOR Y DE FORMA MAS CLARA";0;51;5;4;1;0;34;1;0;1;"PLANTA";"25/8/1975 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
699;3;1;1;1;3;4;4;4;4;4;1;1;2;1;1;3;3;2;4;3;3;3;3;3;2;2;3;1;"EL DOCENTE TIENE EL CONOCIMIENTO NECESARIO PARA DAR LA ASIGNATURA";"LA ASIGNATURA ´LANTEA UN PROGRAMA QUE SE CUMPLE PERO NO NECESARIAMENTE SE ENTIENDE";0;62;5;6;1;0;34;1;0;1;"PLANTA";"25/8/1975 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
700;4;1;1;2;3;4;4;4;4;4;3;3;3;3;3;4;3;3;4;4;4;4;4;3;2;2;3;3;"";"";0;63;5;6;1;0;34;1;0;1;"PLANTA";"25/8/1975 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
701;5;1;1;1;3;3;4;4;4;4;3;4;3;3;1;2;3;4;4;3;2;3;3;3;2;2;3;2;"";"";0;69;5;7;1;0;34;1;0;1;"PLANTA";"25/8/1975 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
702;6;1;1;2;4;4;4;4;4;4;3;4;4;3;4;3;4;4;4;4;4;3;3;2;2;1;3;3;"QUE ESTIMULA LA CAPACIDAD ANALITICA";"";0;70;5;7;1;0;34;1;0;1;"PLANTA";"25/8/1975 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
703;7;1;1;2;3;3;3;4;4;3;2;3;3;2;4;3;3;4;4;4;4;4;4;3;2;2;3;3;"PROMUEVE EL TRABAJO EN GRUPO Y LA AUTONOMIA Y RESPONSABILIDAD CON EL TRABAJO. ES LA UNICA MATERIA QUE BRINDA ESTE TIPO DE CONOCIMIENTOS";"EL HORARIO ES BASTANTE LARGO";1;1096;5;4;1;0;34;1;0;1;"PLANTA";"25/8/1975 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
704;8;1;1;1;3;4;4;3;3;3;2;3;2;2;1;2;2;3;4;3;3;4;4;4;2;2;3;3;"TIENE UN GRAN CONOCIMIENTO DEL TEMA";"NO DEJA MUY CLARAS LAS COSAS A VECES ES ALGO CONFUSO";1;1108;5;6;1;0;34;1;0;1;"PLANTA";"25/8/1975 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
705;9;1;1;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;3;"";"";1;1109;5;6;1;0;34;1;0;1;"PLANTA";"25/8/1975 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
706;10;1;1;2;3;4;4;4;4;4;3;3;4;3;3;2;3;3;4;3;4;3;4;4;2;2;3;3;"SE PREOCUPA PORQUE LOS ESTUDIANTES ENTIENDAN TODOS LOS PROCESOS Y SISTEMAS QUE SE RELACIONAN CON LOS PROYECTOS DEL SEMESTRE";"DEBERIA LLEVAR MAS CONTROLES EN EL TIEMPO DE ENTREGAS DE AVANCES DEL PROYECTO PARA EVITAR QUE HACIA EL FINAL DEL SEMESTRE SE ESTE ATRASADO CON ESTE";1;1109;5;6;1;0;34;1;0;1;"PLANTA";"25/8/1975 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
